Symbol,Name,DesignationDate,Reason
11080,형지I&C,2026-08-04,시가총액 미달
12340,뉴인텍,2026-08-13,주가 미달(동전주)
16790,현대사료,2025-05-16,"상장적격성 실질심사 대상 결정,상장폐지사유 발생"
23440,제이스코홀딩스,2026-03-24,상장폐지사유 발생
25870,신라에스지,2026-07-09,시가총액 미달
28080,휴맥스홀딩스,2026-08-03,시가총액 미달
30350,드래곤플라이,2025-04-11,"상장적격성 실질심사 대상 결정,최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생"
31860,디에이치엑스컴퍼니,2026-02-13,"상장폐지사유 발생,시가총액 미달"
32685,소프트센우,2026-07-01,"종류주식의 시가총액 요건 미달,종류주식의 상장주식수 요건 미달,종류주식의 거래량 요건 미달"
33050,제이엠아이,2026-08-13,주가 미달(동전주)
33340,좋은사람들,2026-08-13,주가 미달(동전주)
35290,골드앤에스,2026-07-13,시가총액 미달
35620,바른손이앤에이,2026-08-06,"주가 미달(동전주),시가총액 미달"
36690,코맥스,2025-04-08,"최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생,상장적격성 실질심사 대상 결정"
37330,인지디스플레,2026-08-14,주가 미달(동전주)
37400,우리엔터프라이즈,2026-08-13,주가 미달(동전주)
41590,플래스크,2025-05-23,"상장적격성 실질심사 대상 결정,상장폐지사유 발생"
43100,알파AI,2026-04-08,"회생절차 개시신청,상장폐지사유 발생"
43220,티에스넥스젠,2025-04-01,"회생절차 개시신청,상장적격성 실질심사 대상 결정,상장폐지사유 발생"
44180,KD,2026-03-06,"회생절차 개시신청,상장폐지사유 발생"
45520,크린앤사이언스,2026-08-18,시가총액 미달
46070,코다코,2023-03-24,"상장폐지사유 발생,상장적격성 실질심사 대상 결정,최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생,회생절차 개시신청"
49180,셀루메드,2025-03-24,"상장폐지사유 발생,자본잠식률 50% 이상,최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생"
50090,비케이홀딩스,2026-08-04,"시가총액 미달,주가 미달(동전주)"
52770,아이톡시,2025-03-26,"시가총액 미달,상장폐지사유 발생,자본잠식률 50% 이상"
54180,메디콕스,2025-09-03,"상장폐지사유 발생,상장적격성 실질심사 대상 결정"
57540,옴니시스템,2026-08-13,주가 미달(동전주)
58820,CMG제약,2026-08-13,주가 미달(동전주)
60260,뉴보텍,2026-08-26,시가총액 미달
60480,국일신동,2026-08-13,시가총액 미달
64090,인크레더블버즈,2026-03-27,"상장적격성 실질심사 대상 결정,상장폐지사유 발생"
65570,삼영이엔씨,2025-03-21,"상장적격성 실질심사 대상 결정,상장폐지사유 발생"
65770,CS,2026-08-28,시가총액 미달
66410,버킷스튜디오,2025-05-09,"상장적격성 실질심사 대상 결정,상장폐지사유 발생"
66790,씨씨에스,2025-08-04,"상장적격성 실질심사 대상 결정,상장폐지사유 발생"
66900,디에이피,2026-03-23,"최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생,자본잠식률 50% 이상"
67770,세진티에스,2026-07-21,시가총액 미달
68240,다원시스,2026-03-24,"회생절차 개시신청,상장적격성 실질심사 대상 결정,상장폐지사유 발생"
68940,셀피글로벌,2025-01-15,"상장적격성 실질심사 대상 결정,상장폐지사유 발생"
69920,엑시온그룹,2026-06-26,시가총액 미달
73190,듀오백,2026-06-18,시가총액 미달
73570,리튬포어스,2025-03-24,최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생
73640,테라사이언스,2024-04-09,"상장폐지사유 발생,사외이사수 미달"
79190,케스피온,2026-08-20,시가총액 미달
79950,인베니아,2026-03-24,최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생
79970,투비소프트,2025-03-24,상장폐지사유 발생
80720,한국유니온제약,2024-11-25,"상장적격성 실질심사 대상 결정,상장폐지사유 발생,회생절차 개시신청"
82660,코스나인,2024-10-07,"상장적격성 실질심사 대상 결정,상장폐지사유 발생"
84180,수성웹툰,2026-07-13,"시가총액 미달,주가 미달(동전주)"
84650,랩지노믹스,2026-08-13,주가 미달(동전주)
88290,이원컴포텍,2026-03-24,자본잠식률 50% 이상
92600,앤씨앤,2026-07-31,시가총액 미달
95910,에스에너지,2026-08-13,주가 미달(동전주)
96610,알에프세미,2024-03-07,"상장적격성 실질심사 대상 결정,상장폐지사유 발생"
99220,SDN,2026-08-13,주가 미달(동전주)
99520,DGI,2023-11-15,"상장적격성 실질심사 대상 결정,상장폐지사유 발생"
103230,에스앤더블류,2026-08-13,시가총액 미달
106080,케이이엠텍,2026-04-20,상장폐지사유 발생
121800,비덴트,2025-04-02,"상장폐지사유 발생,상장적격성 실질심사 대상 결정"
121850,코이즈,2026-06-05,시가총액 미달
131400,이브이첨단소재,2026-08-26,주가 미달(동전주)
175250,아이큐어,2025-09-18,"상장적격성 실질심사 대상 결정,최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생"
180400,DXVX,2025-03-21,최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생
182400,엔케이젠바이오텍코리아,2024-04-08,"자기자본 10억원 미만,상장적격성 실질심사 대상 결정,상장폐지사유 발생,자본잠식률 50% 이상,최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생"
183490,엔지켐생명과학,2026-03-24,상장폐지사유 발생
191410,육일씨엔에쓰,2026-07-21,시가총액 미달
195990,루트K,2026-03-24,자본잠식률 50% 이상
196300,HLB펩,2025-03-24,최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생
196490,디에이테크놀로지,2024-04-24,"상장적격성 실질심사 대상 결정,상장폐지사유 발생"
199730,바이오인프라,2026-07-31,시가총액 미달
203400,에이비온,2026-08-13,주가 미달(동전주)
208640,썸에이지,2026-08-07,시가총액 미달
214610,롤링스톤,2026-03-24,상장폐지사유 발생
215790,이노인스트루먼트,2026-08-13,주가 미달(동전주)
217480,에스디생명공학,2023-03-23,"상장적격성 실질심사 대상 결정,상장폐지사유 발생"
219550,디와이디,2025-03-24,최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생
225430,케이엠제약,2026-07-09,시가총액 미달
225590,패션플랫폼,2026-08-13,시가총액 미달
226340,본느,2026-08-18,반기보고서 미제출
234920,자이글,2025-12-11,상장적격성 실질심사 대상 결정
239340,이스트에이드,2026-08-13,주가 미달(동전주)
240600,유진테크놀로지,2026-08-05,시가총액 미달
241820,피씨엘,2025-03-25,"상장적격성 실질심사 대상 결정,자본잠식률 50% 이상,매출액 30억원 미달,상장폐지사유 발생"
244460,올리패스,2024-03-20,"최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생,상장적격성 실질심사 대상 결정,상장폐지사유 발생,자본잠식률 50% 이상"
245620,EDGC,2024-04-19,"상장폐지사유 발생,회생절차 개시신청"
246250,에스엘에스바이오,2025-07-22,"상장적격성 실질심사 대상 결정,상장폐지사유 발생"
246720,아스타,2026-03-25,상장폐지사유 발생
247660,나노씨엠에스,2026-08-06,시가총액 미달
250930,예선테크,2026-07-31,시가총액 미달
258830,세종메디칼,2024-04-12,"상장적격성 실질심사 대상 결정,최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생,상장폐지사유 발생"
263050,유틸렉스,2026-02-25,"상장폐지사유 발생,상장적격성 실질심사 대상 결정"
276040,스코넥,2026-04-08,"파산신청,상장폐지사유 발생"
284620,카이노스메드,2025-03-24,"최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생,상장폐지사유 발생,상장적격성 실질심사 대상 결정,자본잠식률 50% 이상"
288330,파라택시스코리아,2025-03-24,"최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생,상장폐지사유 발생,상장적격성 실질심사 대상 결정"
288980,모아데이타,2026-08-21,주가 미달(동전주)
289010,아이스크림에듀,2026-08-04,"시가총액 미달,주가 미달(동전주)"
291810,핀텔,2026-07-24,시가총액 미달
294090,이오플로우,2025-03-24,"상장적격성 실질심사 대상 결정,상장폐지사유 발생"
294140,레몬,2026-03-23,최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생
298060,풍전약품,2025-03-24,"최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생,최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생"
308100,형지글로벌,2026-08-13,"시가총액 미달,주가 미달(동전주)"
309710,아이티켐,2026-04-07,상장폐지사유 발생
312610,에이에프더블류,2026-07-16,"시가총액 미달,주가 미달(동전주)"
313760,캐리,2026-04-01,상장폐지사유 발생
340930,성원에너텍,2026-04-13,"회생절차 개시신청,상장폐지사유 발생"
352770,셀레스트라,2025-04-07,"회생절차 개시신청,파산신청,상장폐지사유 발생"
368970,오에스피,2026-07-10,시가총액 미달
376930,노을,2026-08-13,주가 미달(동전주)
377030,비트맥스,2026-03-17,최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생
377460,큐에이드,2023-10-27,상장적격성 실질심사 대상 결정
378800,샤페론,2026-08-13,주가 미달(동전주)
380540,옵티코어,2026-03-24,상장폐지사유 발생
389680,유디엠텍,2026-08-10,시가총액 미달
393970,대진첨단소재,2026-04-08,"상장폐지사유 발생,상장적격성 실질심사 대상 결정"
412540,제일엠앤에스,2025-04-07,"상장폐지사유 발생,회생절차 개시신청"
418250,시큐레터,2025-03-17,상장적격성 실질심사 대상 결정
418620,E8,2026-08-13,"주가 미달(동전주),시가총액 미달"
465320,교보15호스팩,2026-08-03,SPAC 상장예비심사청구서 미제출 등
469900,하나31호스팩,2026-08-27,SPAC 상장예비심사청구서 미제출 등
471050,대신밸런스제17호스팩,2026-07-20,"SPAC 상장예비심사청구서 미제출 등,상장폐지사유 발생"
472220,신영스팩10호,2026-07-30,SPAC 상장예비심사청구서 미제출 등
472230,SK증권제11호스팩,2026-08-24,SPAC 상장예비심사청구서 미제출 등
473050,유안타제15호스팩,2026-08-24,SPAC 상장예비심사청구서 미제출 등
900120,씨엑스아이,2026-08-04,시가총액 미달
900100,파이온엑스,2026-08-05,시가총액 미달
